time_utc_x,station,system,prn,sat,elev_deg,az_deg,t_round,time_utc_y,TRODRY_m,TROWET_m,m_dry,m_wet,slant_dry_m,slant_wet_m,slant_total_m
2025-10-27 00:00:00+00:00,MIZU,G,01,G01,65.30714315613761,157.99623831073885,2025-10-27 00:00:00+00:00,2025-10-27 00:00:00+00:00,2.2848,0.0833,1.0991906732914851,1.0967795336234534,2.5114308503363856,0.09136173515083366,2.602792585487219
2025-10-27 00:00:00+00:00,MIZU,G,15,G15,70.80886479423987,251.052490461371,2025-10-27 00:00:00+00:00,2025-10-27 00:00:00+00:00,2.2848,0.0833,1.057499146073418,1.055267257625781,2.4161740489485455,0.08790376256022757,2.504077811508773
2025-10-27 00:00:00+00:00,MIZU,J,01,J01,21.12152761269722,351.22404658923216,2025-10-27 00:00:00+00:00,2025-10-27 00:00:00+00:00,2.2848,0.0833,2.7658896826912405,2.750673563432143,6.319504747012947,0.2291311078338975,6.548635854846844
2025-10-27 01:00:00+00:00,MIZU,G,01,G01,64.47408062937293,282.9831498997034,2025-10-27 01:00:00+00:00,2025-10-27 01:00:00+00:00,2.2848,0.0844,1.1066960846825293,1.1042519420809214,2.5285792142826433,0.09319886391162976,2.621778078194273
2025-10-27 01:00:00+00:00,MIZU,G,15,G15,23.327386123910482,162.13893764240416,2025-10-27 01:00:00+00:00,2025-10-27 01:00:00+00:00,2.2848,0.0844,2.5177219010696903,2.5051075726692007,5.752490999564029,0.21143107913328055,5.963922078697309
2025-10-27 01:00:00+00:00,MIZU,J,01,J01,39.101871575117784,333.63539598549664,2025-10-27 01:00:00+00:00,2025-10-27 01:00:00+00:00,2.2848,0.0844,1.5825259841564308,1.577533010197427,3.615755368600613,0.13314378606066285,3.748899154661276
2025-10-27 02:00:00+00:00,MIZU,G,01,G01,56.85123280524319,296.1941807774988,2025-10-27 02:00:00+00:00,2025-10-27 02:00:00+00:00,2.2848,0.0793,1.1926718431452066,1.1898336808867678,2.725016627218168,0.09435381089432068,2.8193704381124887
2025-10-27 02:00:00+00:00,MIZU,G,15,G15,43.821922923776526,81.80593984251968,2025-10-27 02:00:00+00:00,2025-10-27 02:00:00+00:00,2.2848,0.0793,1.4417130793173436,1.4375679582616767,3.294026043624267,0.11399913909015096,3.408025182714418
2025-10-27 02:00:00+00:00,MIZU,J,01,J01,51.04801115602926,22.974212197503117,2025-10-27 02:00:00+00:00,2025-10-27 02:00:00+00:00,2.2848,0.0793,1.2839063138334537,1.2806179269494165,2.9334691458466753,0.10155300160708872,3.035022147453764
2025-10-27 03:00:00+00:00,MIZU,G,01,G01,68.79602617951784,227.39918368394333,2025-10-27 03:00:00+00:00,2025-10-27 03:00:00+00:00,2.2848,0.0940999999999999,1.0712387501617726,1.0689485519402373,2.4475662963696183,0.10058805873757623,2.5481543551071946
2025-10-27 03:00:00+00:00,MIZU,G,15,G15,64.2757031055493,127.62934852675261,2025-10-27 03:00:00+00:00,2025-10-27 03:00:00+00:00,2.2848,0.0940999999999999,1.1085331034620285,1.106080848989608,2.5327764347900428,0.104082207889922,2.636858642679965
