time,sat,elev_deg,az_deg,slant_total_m,expected_slant_m,residual_m,station,range_m,phi_t,fit_residual
2025-10-27T00:00:00Z,G16,76.582,206.953,2.134,3.7314778662420376,-1.5974778662420377,ANK2,2.134,0.014929799492142015,0.29370412681668157
2025-10-27T00:00:00Z,G30,57.261,310.653,2.4663,3.7314778662420376,-1.2651778662420377,ANK2,2.4663,0.015391354009144598,0.060926864136142456
2025-10-27T00:00:00Z,G13,49.073,104.778,2.7446,3.7314778662420376,-0.9868778662420374,ANK2,2.7446,0.015741496668368216,-0.08944981030459465
2025-10-27T00:00:00Z,Q19,42.144,317.382,3.0887,3.7314778662420376,-0.6427778662420378,ANK2,3.0887,0.016137599825785554,-0.2302955310963517
2025-10-27T00:00:00Z,G08,44.83,262.588,2.9404,3.7314778662420376,-0.7910778662420377,ANK2,2.9404,0.015971390723788614,-0.1751071436378986
2025-10-27T00:00:00Z,G06,25.696,287.55,4.7634,3.7314778662420376,1.0319221337579623,ANK2,4.7634,0.01767782146027619,-0.44127575537730523
2025-10-27T00:00:00Z,G16,71.72,239.249,2.1858,3.7314778662420376,-1.5456778662420376,ANK2,2.1858,0.015005320310517822,0.2530446323233022
2025-10-27T00:00:00Z,G19,24.879,304.683,4.9076,3.7314778662420376,1.1761221337579628,ANK2,4.9076,0.01778912029845059,-0.43333797467817936
2025-10-27T00:00:00Z,G26,63.747,357.516,2.3137,3.7314778662420376,-1.4177778662420377,ANK2,2.3137,0.015185915126957772,0.15984393723984125
2025-10-27T00:00:00Z,G13,66.999,151.259,2.2545,3.7314778662420376,-1.4769778662420374,ANK2,2.2545,0.015103330899388645,0.20175110342772884
2025-10-27T01:00:00Z,G24,15.259,122.896,7.7687,3.7314778662420376,4.037222133757963,ANK2,7.7687,0.01959471333595908,0.21718985331416896
2025-10-27T01:00:00Z,Q26,53.112,288.208,2.5927,3.7314778662420376,-1.1387778662420378,ANK2,2.5927,0.015554055210961204,-0.011866831019155644
2025-10-27T01:00:00Z,Q18,45.046,307.314,2.9287,3.7314778662420376,-0.8027778662420375,ANK2,2.9287,0.015957998378320015,-0.1704110091846709
2025-10-27T01:00:00Z,Q23,56.071,55.257,2.4995,3.7314778662420376,-1.2319778662420378,ANK2,2.4995,0.015434714666342053,0.04104078096597075
2025-10-27T01:00:00Z,G01,43.546,209.766,3.008,3.7314778662420376,-0.7234778662420376,ANK2,3.008,0.016047955728606178,-0.20124502669535937
2025-10-27T01:00:00Z,G15,39.898,102.712,3.2296,3.7314778662420376,-0.5018778662420376,ANK2,3.2296,0.016289779055369547,-0.2757072652954031
2025-10-27T01:00:00Z,G17,45.391,266.102,2.9113,3.7314778662420376,-0.8201778662420374,ANK2,2.9113,0.015938003252311983,-0.16333114677329874
2025-10-27T01:00:00Z,G29,53.65,85.963,2.5747,3.7314778662420376,-1.1567778662420376,ANK2,2.5747,0.01553127346907024,-0.0019753385245233623
2025-10-27T01:00:00Z,Q10,47.574,241.705,2.8083,3.7314778662420376,-0.9231778662420376,ANK2,2.8083,0.015817670342219925,-0.11900859019473708
2025-10-27T01:00:00Z,G08,45.411,91.845,2.9103,3.7314778662420376,-0.8211778662420377,ANK2,2.9103,0.015936851244088945,-0.16292075292104524
2025-10-27T01:00:00Z,G12,71.338,184.012,2.1901,3.7314778662420376,-1.5413778662420374,ANK2,2.1901,0.015011525685646898,0.2497474444231247
2025-10-27T01:00:00Z,G06,65.924,341.513,2.2724,3.7314778662420376,-1.4590778662420374,ANK2,2.2724,0.015128480193002947,0.1888610375299673
2025-10-27T02:00:00Z,G21,82.9,184.424,2.0908,3.7314778662420376,-1.6406778662420374,ANK2,2.0908,0.014865702325780994,0.328977741478897
2025-10-27T02:00:00Z,G32,28.544,290.681,4.3243,3.7314778662420376,0.5928221337579624,ANK2,4.3243,0.017321678136012153,-0.44435251785378727
2025-10-27T02:00:00Z,G03,28.725,127.901,4.2996,3.7314778662420376,0.5681221337579623,ANK2,4.2996,0.017300810503620756,-0.4435044533110939
2025-10-27T02:00:00Z,G10,20.462,147.723,5.8861,3.7314778662420376,2.1546221337579623,ANK2,5.8861,0.01848297245672592,-0.30431526037229384
